"kode";"jenis";"nama"
"1701062006";"Kelurahan/Desa";"Tungkal I"
"1701062007";"Kelurahan/Desa";"Tungkal II"
"1701062008";"Kelurahan/Desa";"Bandung Ayu"
"1701062009";"Kelurahan/Desa";"Napal Melintang"
"1701062010";"Kelurahan/Desa";"Serang Bulan"
"1701062011";"Kelurahan/Desa";"Suka Bandung"
"1701062012";"Kelurahan/Desa";"Pagar Gading"
"1701062013";"Kelurahan/Desa";"Cinto Mandi"
"1701062014";"Kelurahan/Desa";"Kembang Seri"
"1701062015";"Kelurahan/Desa";"Karang Cayo"
"1701062016";"Kelurahan/Desa";"Tanjung Aur II"
"1701062017";"Kelurahan/Desa";"Nanjungan"
"1701062018";"Kelurahan/Desa";"Kemang Manis"
"1701062019";"Kelurahan/Desa";"Padang Beriang"
"1701062020";"Kelurahan/Desa";"Padang Serasan"
"1701062021";"Kelurahan/Desa";"Telaga Dalam"
"1701070000";"Kecamatan";"Kedurang Ilir"
"1701072001";"Kelurahan/Desa";"Karang Caya"
"1701072002";"Kelurahan/Desa";"Betungan"
"1701072003";"Kelurahan/Desa";"Pagar Banyu"
"1701072004";"Kelurahan/Desa";"Nanjungan"
"1701072005";"Kelurahan/Desa";"Suka Rami"
"1701072006";"Kelurahan/Desa";"Padang Bindu"
"1701072007";"Kelurahan/Desa";"Penindaian"
"1701072008";"Kelurahan/Desa";"Limus"
"1701072009";"Kelurahan/Desa";"Sukaraja"
"1701072010";"Kelurahan/Desa";"Lubuk Ladung"
"1701072011";"Kelurahan/Desa";"Air Sulau"
"1701072012";"Kelurahan/Desa";"Suka Jaya"
"1701080000";"Kecamatan";"Air Nipis"
"1701082001";"Kelurahan/Desa";"Keban Jati"
"1701082002";"Kelurahan/Desa";"Tanjung Beringin"
"1701082003";"Kelurahan/Desa";"Suka Negeri"
"1701082004";"Kelurahan/Desa";"Sukarami"
"1701082005";"Kelurahan/Desa";"Palak Bengkerung"
"1701082006";"Kelurahan/Desa";"Sukamaju"
"1701082007";"Kelurahan/Desa";"Pino Baru"
"1701082008";"Kelurahan/Desa";"Penandingan"
"1701082009";"Kelurahan/Desa";"Suka Bandung"
"1701082010";"Kelurahan/Desa";"Maras"
"1701090000";"Kecamatan";"Ulu Manna"
"1701092001";"Kelurahan/Desa";"Batu Panco"
"1701092002";"Kelurahan/Desa";"Batu Kuning"
"1701092003";"Kelurahan/Desa";"Bandar Agung"
"1701092004";"Kelurahan/Desa";"Merambung"
"1701092005";"Kelurahan/Desa";"Simpang Pino"
"1701092006";"Kelurahan/Desa";"Talang Tinggi"
"1701092007";"Kelurahan/Desa";"Keban Jati"
"1701092008";"Kelurahan/Desa";"Lubuk Tapi"
"1701092009";"Kelurahan/Desa";"Kayu Ajaran"
"1701092010";"Kelurahan/Desa";"Air Tenam Dalam"
"1701100000";"Kecamatan";"Bunga Mas"
"1701102001";"Kelurahan/Desa";"Tumbak Tebing"
"1701102002";"Kelurahan/Desa";"Gunung Kayo"
"1701102003";"Kelurahan/Desa";"Gindo Suli"
"1701102004";"Kelurahan/Desa";"Talang Indah"
"1701102005";"Kelurahan/Desa";"Kuripan"
"1701102006";"Kelurahan/Desa";"Padang Nibung"
"1701102007";"Kelurahan/Desa";"Tanjung Tebat"
"1701102008";"Kelurahan/Desa";"Padang Jawi"
"1701102009";"Kelurahan/Desa";"Tanjung Aur"
"1701102010";"Kelurahan/Desa";"Padang Burnai"
"1701110000";"Kecamatan";"Pasar Manna"
"1701111003";"Kelurahan/Desa";"Tanjung Mulia"
"1701111004";"Kelurahan/Desa";"Pasar Mulia"
"1701111005";"Kelurahan/Desa";"Belakang Gedung"
"1701111006";"Kelurahan/Desa";"Gunung Mesir"
"1701111007";"Kelurahan/Desa";"Padang Sialang"
"1701111008";"Kelurahan/Desa";"Ketapang Besar"
"1701111009";"Kelurahan/Desa";"Pasar Bawah"
"1701112001";"Kelurahan/Desa";"Batu Kuning"
"1701112002";"Kelurahan/Desa";"Batu Lambang"
"1702000000";"KAB/KOTA";"KAB. REJANG LEBONG"
"1702060000";"Kecamatan";"Kota Padang"
"1702061004";"Kelurahan/Desa";"Kota Padang"
"1702061015";"Kelurahan/Desa";"Bedeng SS."
"1702061016";"Kelurahan/Desa";"Dusun Baru"
"1702062001";"Kelurahan/Desa";"Derati"
"1702062002";"Kelurahan/Desa";"Taba Anyar"
"1702062003";"Kelurahan/Desa";"Suka Rami"
"1702062005";"Kelurahan/Desa";"Lubuk Mumpo"
"1702062006";"Kelurahan/Desa";"Durian Mas"
"1702062018";"Kelurahan/Desa";"Kota Padang Baru"
"1702062020";"Kelurahan/Desa";"Tanjung Gelang"
"1702070000";"Kecamatan";"Padang Ulak Tanding"
"1702071011";"Kelurahan/Desa";"Pasar PU Tanding"
"1702072001";"Kelurahan/Desa";"Karang Baru"
"1702072007";"Kelurahan/Desa";"Guru Agung"
"1702072008";"Kelurahan/Desa";"Belumai II"
"1702072009";"Kelurahan/Desa";"Belumai I"
"1702072010";"Kelurahan/Desa";"Ulak Tanding"
"1702072012";"Kelurahan/Desa";"Tanjung Sanai I"
"1702072013";"Kelurahan/Desa";"Muara Telita"
"1702072014";"Kelurahan/Desa";"Ujan Panas"
"1702072021";"Kelurahan/Desa";"Taba Tinggi"
"1702072022";"Kelurahan/Desa";"Tanjung Sanai II"
"1702072025";"Kelurahan/Desa";"Taktoi"
"1702072026";"Kelurahan/Desa";"Kasie Kasubun"
"1702072027";"Kelurahan/Desa";"Air Kati"
"1702072028";"Kelurahan/Desa";"Bukit Batu"
"1702080000";"Kecamatan";"Sindang Kelingi"
"1702081006";"Kelurahan/Desa";"Beringin Tiga"
"1702082001";"Kelurahan/Desa";"Sindang Jaya"
"1702082002";"Kelurahan/Desa";"Sindang Jati"
"1702082003";"Kelurahan/Desa";"Belitar Muka"
"1702082004";"Kelurahan/Desa";"Pelalo"
"1702082005";"Kelurahan/Desa";"Kayu Manis"
"1702082009";"Kelurahan/Desa";"Air Dingin"
"1702082011";"Kelurahan/Desa";"Belitar Seberang"
"1702082013";"Kelurahan/Desa";"Cahaya Negeri"
"1702082014";"Kelurahan/Desa";"Tanjung Aur"
"1702090000";"Kecamatan";"Curup"
"1702091012";"Kelurahan/Desa";"Dwi Tunggal"
"1702091013";"Kelurahan/Desa";"Air Putih Lama"
"1702091023";"Kelurahan/Desa";"Adirejo"
"1702091025";"Kelurahan/Desa";"Air Rambai"
"1702091026";"Kelurahan/Desa";"Pasar Baru"
"1702091027";"Kelurahan/Desa";"Pasar Tengah"
"1702091031";"Kelurahan/Desa";"Jalan Baru"
"1702091033";"Kelurahan/Desa";"Talang Benih"
"1702091047";"Kelurahan/Desa";"Timbul Rejo"
"1702100000";"Kecamatan";"Bermani Ulu"
"1702102001";"Kelurahan/Desa";"Air Mundu"
"1702102002";"Kelurahan/Desa";"Tebat Tenong Dalam"
"1702102003";"Kelurahan/Desa";"Baru Manis"
"1702102012";"Kelurahan/Desa";"Kampung Melayu"
"1702102013";"Kelurahan/Desa";"Sentral Baru"
"1702102015";"Kelurahan/Desa";"Kampung Sajad"
"1702102016";"Kelurahan/Desa";"Suka Rami"
"1702102017";"Kelurahan/Desa";"Pagar Gunung"
"1702102018";"Kelurahan/Desa";"Selamat Sudiarjo"
"1702102019";"Kelurahan/Desa";"Purwodadi"
"1702102020";"Kelurahan/Desa";"Air Pikat"
"1702102021";"Kelurahan/Desa";"Tebat Pulau"
"1702110000";"Kecamatan";"Selupu Rejang"
"1702111004";"Kelurahan/Desa";"Air Duku"
"1702111006";"Kelurahan/Desa";"Cawang Baru"
"1702111008";"Kelurahan/Desa";"Simpang Nangka"
"1702112001";"Kelurahan/Desa";"Air Putih Kali Bandung"
"1702112002";"Kelurahan/Desa";"Air Meles Atas"
"1702112003";"Kelurahan/Desa";"Sambirejo"
"1702112005";"Kelurahan/Desa";"Suban Ayam"
"1702112007";"Kelurahan/Desa";"Cawang Lama"
"1702112009";"Kelurahan/Desa";"Sumber Urip"
"1702112010";"Kelurahan/Desa";"Sumber Bening"
"1702112011";"Kelurahan/Desa";"Karang Jaya"
"1702112012";"Kelurahan/Desa";"Kayu Manis"
"1702112013";"Kelurahan/Desa";"Kampung Baru"
"1702112014";"Kelurahan/Desa";"Kali Padang"
"1702112015";"Kelurahan/Desa";"Mojorejo"
"1702112016";"Kelurahan/Desa";"Talang Lahat"
"1702160000";"Kecamatan";"Curup Utara"
"1702161001";"Kelurahan/Desa";"Dusun Curup"
"1702161002";"Kelurahan/Desa";"Tunas Harapan"
"1702162003";"Kelurahan/Desa";"Batu Dewa"
"1702162004";"Kelurahan/Desa";"Perbo"
"1702162005";"Kelurahan/Desa";"Batu Panco"
"1702162006";"Kelurahan/Desa";"Dusun Sawah"
"1702162007";"Kelurahan/Desa";"Lubuk Kembang"
"1702162008";"Kelurahan/Desa";"Suka Datang"
"1702162009";"Kelurahan/Desa";"Tabarenah"
"1702162010";"Kelurahan/Desa";"Pahlawan"
"1702162011";"Kelurahan/Desa";"Tasik Malaya"
"1702162012";"Kelurahan/Desa";"Tanjung Beringin"
"1702162013";"Kelurahan/Desa";"Kota Pagu"
"1702162014";"Kelurahan/Desa";"Seguring"
"1702170000";"Kecamatan";"Curup Timur"
"1702171001";"Kelurahan/Desa";"Sukaraja"
"1702171002";"Kelurahan/Desa";"Kesambe Baru"
"1702171003";"Kelurahan/Desa";"Karang Anyar"
"1702171004";"Kelurahan/Desa";"Talang Ulu"
"1702172005";"Kelurahan/Desa";"Duku Ulu"
"1702172006";"Kelurahan/Desa";"Duku Ilir"
"1702172007";"Kelurahan/Desa";"Air Meles Bawah"
"1702172008";"Kelurahan/Desa";"Kampung Delima"
"1702172009";"Kelurahan/Desa";"Kesambe Lama"
"1702180000";"Kecamatan";"Curup Selatan"
"1702181001";"Kelurahan/Desa";"Air Putih Baru"
"1702181002";"Kelurahan/Desa";"Tempel Rejo"
"1702182003";"Kelurahan/Desa";"Rimbo Recap"
"1702182004";"Kelurahan/Desa";"Watas Marga"
"1702182005";"Kelurahan/Desa";"Teladan"
"1702182006";"Kelurahan/Desa";"Suka Marga"
"1702182007";"Kelurahan/Desa";"Lubuk Ubar"
"1702182008";"Kelurahan/Desa";"Pungguk Lalang"
"1702182009";"Kelurahan/Desa";"Turan Baru"
"1702182010";"Kelurahan/Desa";"Tanjung Dalam"
"1702182011";"Kelurahan/Desa";"Air Lanang"
"1702190000";"Kecamatan";"Curup Tengah"
"1702191001";"Kelurahan/Desa";"Kepala Siring"
"1702191002";"Kelurahan/Desa";"Talang Rimbo Baru"
"1702191003";"Kelurahan/Desa";"Talang Rimbo Lama"
"1702191004";"Kelurahan/Desa";"Siderejo"
"1702191005";"Kelurahan/Desa";"Kampung Jawa"
"1702191006";"Kelurahan/Desa";"Air Bang"
"1702191007";"Kelurahan/Desa";"Pelabuhan Baru"
"1702191008";"Kelurahan/Desa";"Batu Galing"
"1702191009";"Kelurahan/Desa";"Banyu Mas"
"1702192010";"Kelurahan/Desa";"Air Merah"
"1702200000";"Kecamatan";"Binduriang"
"1702202001";"Kelurahan/Desa";"Kepala Curup"
"1702202002";"Kelurahan/Desa";"Kampung Jeruk"
"1702202003";"Kelurahan/Desa";"Simpang Beliti"
"1702202004";"Kelurahan/Desa";"Taba Padang"
"1702202005";"Kelurahan/Desa";"Air Apo"
"1702210000";"Kecamatan";"Sindang Beliti Ulu"
"1702212001";"Kelurahan/Desa";"Apur"
"1702212002";"Kelurahan/Desa";"Lawang Agung"
"1702212003";"Kelurahan/Desa";"Lubuk Alai"
"1702212004";"Kelurahan/Desa";"Karang Pinang"
"1702212005";"Kelurahan/Desa";"Tanjung Agung"
"1702212006";"Kelurahan/Desa";"Pengambang"
"1702212007";"Kelurahan/Desa";"Jabi"
"1702212008";"Kelurahan/Desa";"Tanjung Herang"
"1702212009";"Kelurahan/Desa";"Air Nau"
"1702220000";"Kecamatan";"Sindang Dataran"
"1702222001";"Kelurahan/Desa";"IV Suko Menanti"
"1702222002";"Kelurahan/Desa";"Air Rusa"
"1702222003";"Kelurahan/Desa";"Bengko"
"1702222004";"Kelurahan/Desa";"Sinar Gunung"
"1702222005";"Kelurahan/Desa";"Warung Pojok"
"1702222006";"Kelurahan/Desa";"Talang Belitar"
"1702230000";"Kecamatan";"Sindang Beliti Ilir"
"1702232001";"Kelurahan/Desa";"Merantau"
"1702232002";"Kelurahan/Desa";"Periang"
"1702232003";"Kelurahan/Desa";"Balai Buntar"
"1702232004";"Kelurahan/Desa";"LubukTunjung"
"1702232005";"Kelurahan/Desa";"LB. Belimbing I"
"1702232006";"Kelurahan/Desa";"LB Belimbing II"
"1702232007";"Kelurahan/Desa";"LB. Bingin Baru"
"1702232008";"Kelurahan/Desa";"Sari Pulau"
"1702232009";"Kelurahan/Desa";"Suka Merindu"
"1702232010";"Kelurahan/Desa";"Suka karya"
"1702240000";"Kecamatan";"Bermani Ulu Raya"
"1702242001";"Kelurahan/Desa";"Dataran Tapus"
"1702242002";"Kelurahan/Desa";"Bandung Marga"
"1702242003";"Kelurahan/Desa";"Pal Seratus"
"1702242004";"Kelurahan/Desa";"Pal VII"
"1702242005";"Kelurahan/Desa";"Pal VIII"
"1702242006";"Kelurahan/Desa";"Tebat Tenong Luar"
"1702242007";"Kelurahan/Desa";"Bangun Jaya"
"1702242008";"Kelurahan/Desa";"Babakan Baru"
"1702242009";"Kelurahan/Desa";"Sumberejo Transad"
"1702242010";"Kelurahan/Desa";"Air Bening"
"1703000000";"KAB/KOTA";"KAB. BENGKULU UTARA"
"1703010000";"Kecamatan";"Enggano"
"1703012001";"Kelurahan/Desa";"Banjar Sari"
"1703012002";"Kelurahan/Desa";"Meok"
"1703012003";"Kelurahan/Desa";"Malakoni"
"1703012004";"Kelurahan/Desa";"Kaana"
"1703012005";"Kelurahan/Desa";"Kahyapu"
"1703012006";"Kelurahan/Desa";"Apoho"
"1703060000";"Kecamatan";"Kerkap"
"1703061009";"Kelurahan/Desa";"Lubuk Durian"
"1703062001";"Kelurahan/Desa";"Talang Jambu"
"1703062002";"Kelurahan/Desa";"Tebat Pacur"
"1703062003";"Kelurahan/Desa";"Talang Curup"
"1703062004";"Kelurahan/Desa";"Banyumas"
"1703062005";"Kelurahan/Desa";"Salam Harjo"
"1703062006";"Kelurahan/Desa";"Yogja Baru"
"1703062007";"Kelurahan/Desa";"Talang Pasak"
"1703062008";"Kelurahan/Desa";"Perbo"
"1703062010";"Kelurahan/Desa";"Lubuk Jale"
"1703062011";"Kelurahan/Desa";"Simpang Ketenong"
"1703062012";"Kelurahan/Desa";"Aur Gading"
"1703062024";"Kelurahan/Desa";"Kedu Baru"
"1703062026";"Kelurahan/Desa";"Serumbung"
"1703062027";"Kelurahan/Desa";"Magelang"
"1703062028";"Kelurahan/Desa";"Tanjung Putus"
"1703062029";"Kelurahan/Desa";"Penyangkak"
"1703062031";"Kelurahan/Desa";"Banyumas Baru"
"1703070000";"Kecamatan";"Kota Arga Makmur"
"1703071026";"Kelurahan/Desa";"Purwodadi"
"1703071027";"Kelurahan/Desa";"Gunung Alam"
"1703072001";"Kelurahan/Desa";"Tanjung Raman"
"1703072002";"Kelurahan/Desa";"Lubuk Sahung"
"1703072003";"Kelurahan/Desa";"Kuro Tidur"
"1703072004";"Kelurahan/Desa";"Karang Suci"
"1703072005";"Kelurahan/Desa";"Rama Agung"
"1703072008";"Kelurahan/Desa";"Talang Denau"
"1703072009";"Kelurahan/Desa";"Gunung Selan"
"1703072010";"Kelurahan/Desa";"Datar Ruyung"
"1703072011";"Kelurahan/Desa";"Senali"
"1703072012";"Kelurahan/Desa";"Gunung Agung"
"1703072014";"Kelurahan/Desa";"Sido Urip"
"1703072015";"Kelurahan/Desa";"Karang Anyar I"
"1703072016";"Kelurahan/Desa";"Taba Tembilang"
"1703072022";"Kelurahan/Desa";"Karang Anyar II"
"1703080000";"Kecamatan";"Giri Mulya"
"1703082001";"Kelurahan/Desa";"Tanjung Anom"
"1703082002";"Kelurahan/Desa";"Suka Makmur"
"1703082003";"Kelurahan/Desa";"Wono Harjo"
"1703082004";"Kelurahan/Desa";"Giri Mulya"
"1703082005";"Kelurahan/Desa";"Rena Jaya"
"1703082006";"Kelurahan/Desa";"Suka Mulya"
"1703090000";"Kecamatan";"Padang Jaya"
"1703092001";"Kelurahan/Desa";"Lubuk Banyau"
"1703092002";"Kelurahan/Desa";"Talang Tua"
"1703092003";"Kelurahan/Desa";"Marga Sakti"
"1703092004";"Kelurahan/Desa";"Tanjung Harapan"
"1703092005";"Kelurahan/Desa";"Padang Jaya"
"1703092006";"Kelurahan/Desa";"Arga Mulya"
"1703092007";"Kelurahan/Desa";"Sido Mukti"
"1703092008";"Kelurahan/Desa";"Marga Jaya"
"1703092009";"Kelurahan/Desa";"Tanah Hitam"
"1703092010";"Kelurahan/Desa";"Tambak Rejo"
"1703092011";"Kelurahan/Desa";"Sido Luhur"
"1703092012";"Kelurahan/Desa";"Tanah Tinggi"
"1703100000";"Kecamatan";"Lais"
"1703101010";"Kelurahan/Desa";"Pasar Lais"
"1703102008";"Kelurahan/Desa";"Datar Lebar"
"1703102009";"Kelurahan/Desa";"Air Padang"
"1703102011";"Kelurahan/Desa";"Durian Daun"
"1703102012";"Kelurahan/Desa";"Dusun Raja"
"1703102013";"Kelurahan/Desa";"Lubuk Lesung"
"1703102014";"Kelurahan/Desa";"Pal 30"
"1703102015";"Kelurahan/Desa";"Jagobayo"
"1703102017";"Kelurahan/Desa";"Talang Rasau"
"1703102018";"Kelurahan/Desa";"Lubuk Gedang"
"1703102019";"Kelurahan/Desa";"Suka Langu"
"1703102020";"Kelurahan/Desa";"Taba Baru"
"1703102021";"Kelurahan/Desa";"Kalbang"
"1703110000";"Kecamatan";"Batik Nau"
"1703112001";"Kelurahan/Desa";"Serangai"
"1703112002";"Kelurahan/Desa";"Selolong"
"1703112003";"Kelurahan/Desa";"Air Lakok"
"1703112004";"Kelurahan/Desa";"Bintunan"
"1703112005";"Kelurahan/Desa";"Suka Marga"
"1703112006";"Kelurahan/Desa";"Batik Nau"
"1703112007";"Kelurahan/Desa";"Pagar Ruyung"
"1703112008";"Kelurahan/Desa";"Durian Amparan"
"1703112009";"Kelurahan/Desa";"Taba Kulintang"
"1703112010";"Kelurahan/Desa";"Ulak Tanding"
"1703112011";"Kelurahan/Desa";"Seberang Tunggal"
"1703112012";"Kelurahan/Desa";"Sekiau"
"1703112013";"Kelurahan/Desa";"Samban Jaya"
"1703112014";"Kelurahan/Desa";"Peninjau"
"1703112015";"Kelurahan/Desa";"Air Mangayau"
"1703120000";"Kecamatan";"Ketahun"
"1703122001";"Kelurahan/Desa";"Urai"
"1703122002";"Kelurahan/Desa";"Pasar Ketahun"
"1703122003";"Kelurahan/Desa";"Giri Kencana"
"1703122004";"Kelurahan/Desa";"Kualalangi"
"1703122005";"Kelurahan/Desa";"Dusun Raja"
"1703122012";"Kelurahan/Desa";"Lubuk Mindai"
"1703122013";"Kelurahan/Desa";"Fajar Baru"
"1703122014";"Kelurahan/Desa";"Talang Baru"
"1703122019";"Kelurahan/Desa";"Melati Harjo"
"1703122020";"Kelurahan/Desa";"Bukit Indah"
"1703122021";"Kelurahan/Desa";"Bukit Tinggi"
"1703130000";"Kecamatan";"Napal Putih"
"1703132003";"Kelurahan/Desa";"Tanjungalai"
"1703132004";"Kelurahan/Desa";"Jabi"
"1703132005";"Kelurahan/Desa";"Napal Putih"
"1703132006";"Kelurahan/Desa";"Air Tenang"
"1703132007";"Kelurahan/Desa";"Teluk Anggung"
"1703132008";"Kelurahan/Desa";"Tanjung Kemenyan"
"1703132009";"Kelurahan/Desa";"Muara Santan"
"1703132016";"Kelurahan/Desa";"Lebong Tandai"
"1703132019";"Kelurahan/Desa";"Gembung Raya"
"1703132020";"Kelurahan/Desa";"Kinal Jaya"
"1703140000";"Kecamatan";"Putri Hijau"
"1703142007";"Kelurahan/Desa";"Talang Arah"
"1703142008";"Kelurahan/Desa";"Pasar Sebelat"
"1703142009";"Kelurahan/Desa";"Kota Bani"
"1703142013";"Kelurahan/Desa";"Air Muring"
"1703142014";"Kelurahan/Desa";"Air Pandan"
"1703142015";"Kelurahan/Desa";"Cipta Mulya"
"1703142017";"Kelurahan/Desa";"Air Petai"
"1703142018";"Kelurahan/Desa";"Karang Tengah"
"1703142019";"Kelurahan/Desa";"Karang Pulau"
"1703150000";"Kecamatan";"Air Besi"
"1703152003";"Kelurahan/Desa";"Genting Perangkap"
"1703152004";"Kelurahan/Desa";"Lubuk Balam"
"1703152005";"Kelurahan/Desa";"Datar Mancang"
"1703152006";"Kelurahan/Desa";"Tanjung Genting"
"1703152007";"Kelurahan/Desa";"Talang Renah"
"1703152008";"Kelurahan/Desa";"Kota Agung"
"1703152009";"Kelurahan/Desa";"Talang Lembak"
"1703152010";"Kelurahan/Desa";"Kertapati"
"1703152011";"Kelurahan/Desa";"Talang Pungguk"
"1703152012";"Kelurahan/Desa";"Teluk Baru Ginting"
"1703152013";"Kelurahan/Desa";"Tanjung Karet"
"1703152014";"Kelurahan/Desa";"Talang Ginting"
"1703152015";"Kelurahan/Desa";"Sungai Pura"
"1703152016";"Kelurahan/Desa";"Dusun Curup"
"1703152017";"Kelurahan/Desa";"Penyangkak"
"1703160000";"Kecamatan";"Air Napal"
"1703162001";"Kelurahan/Desa";"Pasar Bembah"
"1703162002";"Kelurahan/Desa";"Tepi Laut"
"1703162003";"Kelurahan/Desa";"Pasar Kerkap"
"1703162005";"Kelurahan/Desa";"Air Napal"
"1703162006";"Kelurahan/Desa";"Talang Kering"
"1703162007";"Kelurahan/Desa";"Selubuk"
"1703162008";"Kelurahan/Desa";"Pasar Tebat"
"1703162009";"Kelurahan/Desa";"Lubuk Tanjung"
"1703162011";"Kelurahan/Desa";"Pukur"
"1703162014";"Kelurahan/Desa";"Pasar Palik"
"1703162015";"Kelurahan/Desa";"Tebing Kandang"
"1703162016";"Kelurahan/Desa";"Talang Jarang"
"1703190000";"Kecamatan";"Hulu Palik"
"1703192001";"Kelurahan/Desa";"Kota Lekat"
"1703192002";"Kelurahan/Desa";"Padang Bendar"
"1703192003";"Kelurahan/Desa";"Taba Padang R"
"1703192004";"Kelurahan/Desa";"Taba Padang Kol"
"1703192005";"Kelurahan/Desa";"Air Banai"
"1703192006";"Kelurahan/Desa";"Batu Raja R"
"1703192007";"Kelurahan/Desa";"Batu Raja Kol"
"1703192008";"Kelurahan/Desa";"Batu Layang"
"1703192009";"Kelurahan/Desa";"Batu Roto"
"1703192010";"Kelurahan/Desa";"Air Ba'us I"
"1703192011";"Kelurahan/Desa";"Air Ba'us II"
"1703192012";"Kelurahan/Desa";"Pematang Balam"
"1703192013";"Kelurahan/Desa";"Talang Rendah"
"1703192014";"Kelurahan/Desa";"Sumber Rejo"
"1703192015";"Kelurahan/Desa";"Kota Lekat Mudik"
"1703200000";"Kecamatan";"Air Padang"
"1703202001";"Kelurahan/Desa";"Padang Kala"
"1703202002";"Kelurahan/Desa";"Kembang Manis"
"1703202003";"Kelurahan/Desa";"Teluk Ajang"
"1703202004";"Kelurahan/Desa";"Balam"
"1703202005";"Kelurahan/Desa";"Suka Rami"
"1703202006";"Kelurahan/Desa";"Mesigit"
"1703202007";"Kelurahan/Desa";"Retes"
"1703202008";"Kelurahan/Desa";"Lubuk Mumpo"
"1703202009";"Kelurahan/Desa";"Talang Ulu"
"1703202010";"Kelurahan/Desa";"Tanjung Aur"
"1703210000";"Kecamatan";"Arma Jaya"
"1703211001";"Kelurahan/Desa";"Kemumu"
"1703212002";"Kelurahan/Desa";"Tebing Kaning"
"1703212003";"Kelurahan/Desa";"Sidodadi"
"1703212004";"Kelurahan/Desa";"Sumber Agung"
"1703212005";"Kelurahan/Desa";"Pematang Sapang"
"1703212006";"Kelurahan/Desa";"Pagar Banyu"
"1703212007";"Kelurahan/Desa";"Gardu"
"1703212008";"Kelurahan/Desa";"Kali"
"1703212009";"Kelurahan/Desa";"Kalai Duai"
"1703212010";"Kelurahan/Desa";"Pagar Ruyung"
"1703212011";"Kelurahan/Desa";"Air Merah"
"1703212012";"Kelurahan/Desa";"Gunung Besar"
"1703220000";"Kecamatan";"Tanjung Agung Palik"
"1703222001";"Kelurahan/Desa";"Sengkuang"
"1703222002";"Kelurahan/Desa";"Lubuk Pendam"
"1703222003";"Kelurahan/Desa";"Alun Dua"
"1703222004";"Kelurahan/Desa";"Ketapi"
"1703222005";"Kelurahan/Desa";"Lubuk Semantung"
"1703222006";"Kelurahan/Desa";"Sawang Lebar"
"1703222007";"Kelurahan/Desa";"Sawang Lebar Ilir"
"1703222008";"Kelurahan/Desa";"Lubuk Gading"
"1703222009";"Kelurahan/Desa";"Tanjung Agung"
"1703222010";"Kelurahan/Desa";"Padang Sepan"
"1703230000";"Kecamatan";"Ulok Kupai"
"1703232001";"Kelurahan/Desa";"Air Lelangi"
"1703232002";"Kelurahan/Desa";"Bukit Berlian"
"1703232003";"Kelurahan/Desa";"Tanjung Dalam"
"1703232004";"Kelurahan/Desa";"Bukit Sari"
"1703232005";"Kelurahan/Desa";"Pagardin"
"1703232006";"Kelurahan/Desa";"Tanjung Harapan"
"1703232007";"Kelurahan/Desa";"Tanjung Sari"
"1703232008";"Kelurahan/Desa";"Bangun Karya"
"1703232009";"Kelurahan/Desa";"Pondok Bakil"
"1703232010";"Kelurahan/Desa";"Talang Berantai"
"1703240000";"Kecamatan";"Pinang Raya"
"1703242001";"Kelurahan/Desa";"Air Sebayur"
"1703242002";"Kelurahan/Desa";"Air Sekamanak"
"1703242003";"Kelurahan/Desa";"Air Simpang"
"1703242004";"Kelurahan/Desa";"Bukit Makmur"
"1703242005";"Kelurahan/Desa";"Marga Bhakti"
"1703242006";"Kelurahan/Desa";"Bumi Harjo"
"1703242007";"Kelurahan/Desa";"Sumber Mulya"
"1703242008";"Kelurahan/Desa";"Gunung Payung"
"1703242009";"Kelurahan/Desa";"Bukit Harapan"
"1703242010";"Kelurahan/Desa";"Tanjung Muara"
"1703250000";"Kecamatan";"Marga Sakti Sebelat"
"1703252001";"Kelurahan/Desa";"Air Putih"
"1703252002";"Kelurahan/Desa";"Suka Makmur"
"1703252003";"Kelurahan/Desa";"Karya Pelita"
"1703252004";"Kelurahan/Desa";"Suka Maju"
"1703252005";"Kelurahan/Desa";"Suka Baru"
"1703252006";"Kelurahan/Desa";"Suka Merindu"
"1703252007";"Kelurahan/Desa";"Suka Medan"
"1703252008";"Kelurahan/Desa";"Karya Bakti"
"1703252009";"Kelurahan/Desa";"Karya Jaya"
"1703252010";"Kelurahan/Desa";"Suka Negara"
"1704000000";"KAB/KOTA";"KAB. KAUR"
"1704010000";"Kecamatan";"Kinal"
"1704012001";"Kelurahan/Desa";"Gedung Wani"
"1704012002";"Kelurahan/Desa";"Penandingan"
"1704012003";"Kelurahan/Desa";"Geramat"
"1704012004";"Kelurahan/Desa";"Tanjung Alam"
"1704012005";"Kelurahan/Desa";"Tanjung Baru"
"1704012006";"Kelurahan/Desa";"Pengurung"
"1704012007";"Kelurahan/Desa";"Pinang Jawa"
"1704012008";"Kelurahan/Desa";"Gunung Terang"
"1704012009";"Kelurahan/Desa";"Talang Padang"
"1704012010";"Kelurahan/Desa";"Gunung Megang"
"1704012020";"Kelurahan/Desa";"Talang Berangin"
"1704012021";"Kelurahan/Desa";"Jawi"
"1704012022";"Kelurahan/Desa";"Papahan"
"1704012023";"Kelurahan/Desa";"Pinang Jawa II"
"1704020000";"Kecamatan";"Tanjung Kemuning"
"1704022002";"Kelurahan/Desa";"Tinggi Ari"
"1704022003";"Kelurahan/Desa";"Tanjung Aur"
"1704022004";"Kelurahan/Desa";"Aur Ringit"
"1704022008";"Kelurahan/Desa";"Pelajaran"
