"kode";"jenis";"nama"
"1101032012";"Kelurahan/Desa";"Pasi Meurapat"
"1101032013";"Kelurahan/Desa";"Ujung Pasir"
"1101032014";"Kelurahan/Desa";"Geulumbuk"
"1101032015";"Kelurahan/Desa";"Pasie Lembang"
"1101032016";"Kelurahan/Desa";"Ujung Padang"
"1101032017";"Kelurahan/Desa";"Indra Damai"
"1101040000";"Kecamatan";"Labuhan Haji"
"1101042001";"Kelurahan/Desa";"Bakau Hulu"
"1101042002";"Kelurahan/Desa";"Padang Bakau"
"1101042003";"Kelurahan/Desa";"Manggis Harapan"
"1101042004";"Kelurahan/Desa";"Pasar Lama"
"1101042005";"Kelurahan/Desa";"Apha"
"1101042006";"Kelurahan/Desa";"Ujung Batu"
"1101042007";"Kelurahan/Desa";"Pawoh"
"1101042008";"Kelurahan/Desa";"Dalam"
"1101042009";"Kelurahan/Desa";"Kota Palak"
"1101042010";"Kelurahan/Desa";"Cacang"
"1101042011";"Kelurahan/Desa";"Tengah Pisang"
"1101042012";"Kelurahan/Desa";"Pisang"
"1101042013";"Kelurahan/Desa";"Hulu Pisang"
"1101042014";"Kelurahan/Desa";"Tengah Baru"
"1101042015";"Kelurahan/Desa";"Lembah Baru"
"1101042016";"Kelurahan/Desa";"Padang Baru"
"1101050000";"Kecamatan";"Meukek"
"1101052001";"Kelurahan/Desa";"Kuta Buloh II"
"1101052002";"Kelurahan/Desa";"Kuta Buloh I"
"1101052003";"Kelurahan/Desa";"Ie Dingen"
"1101052004";"Kelurahan/Desa";"Drien Jalo"
"1101052005";"Kelurahan/Desa";"Jambo Papeun"
"1101052006";"Kelurahan/Desa";"Buket Meuh"
"1101052007";"Kelurahan/Desa";"Blang Kuala"
"1101052008";"Kelurahan/Desa";"Rot Teungoh"
"1101052009";"Kelurahan/Desa";"Alue Baro"
"1101052010";"Kelurahan/Desa";"Ladang Tuha"
"1101052011";"Kelurahan/Desa";"Lhok Mamplam"
"1101052012";"Kelurahan/Desa";"Arun Tunggai"
"1101052013";"Kelurahan/Desa";"Blang Teungoh"
"1101052014";"Kelurahan/Desa";"Blang Bladeh"
"1101052015";"Kelurahan/Desa";"Ie Buboh"
"1101052016";"Kelurahan/Desa";"Keude Meukek"
"1101052017";"Kelurahan/Desa";"Kuta Baro"
"1101052018";"Kelurahan/Desa";"Tanjung Harapan"
"1101052019";"Kelurahan/Desa";"Labuhan Tarok"
"1101052020";"Kelurahan/Desa";"Lhok Aman"
"1101052021";"Kelurahan/Desa";"Alue Meutuah"
"1101052022";"Kelurahan/Desa";"Ladang Baro"
"1101052023";"Kelurahan/Desa";"Labuhan Tarok II"
"1101060000";"Kecamatan";"Samadua"
"1101062001";"Kelurahan/Desa";"Dalam"
"1101062002";"Kelurahan/Desa";"Subarang"
"1101062003";"Kelurahan/Desa";"Kuta Baru"
"1101062004";"Kelurahan/Desa";"Gunung Ketek"
"1101062005";"Kelurahan/Desa";"Ladang Panton Luas"
"1101062006";"Kelurahan/Desa";"Madat"
"1101062007";"Kelurahan/Desa";"Alur Seumerah"
"1101062008";"Kelurahan/Desa";"Tengah"
"1101062009";"Kelurahan/Desa";"Gunung Cut"
"1101062010";"Kelurahan/Desa";"Alur Pinang"
"1101062011";"Kelurahan/Desa";"Kuta Blang"
"1101062012";"Kelurahan/Desa";"Batee Tunggai"
"1101062013";"Kelurahan/Desa";"Ujung Tanah"
"1101062014";"Kelurahan/Desa";"Ujung Kampung"
"1101062015";"Kelurahan/Desa";"Jilatang"
"1101062016";"Kelurahan/Desa";"Luar"
"1101062017";"Kelurahan/Desa";"Lubuk Layu"
"1101062018";"Kelurahan/Desa";"Suaq Hulu"
"1101062019";"Kelurahan/Desa";"Tampang"
"1101062020";"Kelurahan/Desa";"Payonan Gadang"
"1101062021";"Kelurahan/Desa";"Gadang"
"1101062022";"Kelurahan/Desa";"Baru"
"1101062023";"Kelurahan/Desa";"Ladang Kasik Putih"
"1101062024";"Kelurahan/Desa";"Air Sialang Hilir."
"1101062025";"Kelurahan/Desa";"Air Sialang Hulu"
"1101062026";"Kelurahan/Desa";"Air Sialang Tengah"
"1101062027";"Kelurahan/Desa";"Balai"
"1101062028";"Kelurahan/Desa";"Arafah"
"1101070000";"Kecamatan";"Sawang"
"1101072001";"Kelurahan/Desa";"Sikulat"
"1101072002";"Kelurahan/Desa";"Sawang I"
"1101072003";"Kelurahan/Desa";"Meuligo"
"1101072004";"Kelurahan/Desa";"Lhok Pawoh"
"1101072005";"Kelurahan/Desa";"Sawang II"
"1101072006";"Kelurahan/Desa";"Ujung Karang"
"1101072007";"Kelurahan/Desa";"Trieng Meuduro Baroh"
"1101072008";"Kelurahan/Desa";"Trieng Meuduro Tunong"
"1101072009";"Kelurahan/Desa";"Panton Luas"
"1101072010";"Kelurahan/Desa";"Simpang Tiga"
"1101072011";"Kelurahan/Desa";"Kuta Baro"
"1101072012";"Kelurahan/Desa";"Blang Geulinggang"
"1101072013";"Kelurahan/Desa";"Mutiara"
